customer_id,first_name,last_name,email,country,signup_channel,signup_date,is_active
CUST00001,David,Martin,david.martin1@example.com,ES,paid_search,2024-08-16,False
CUST00002,David,Simon,david.simon2@example.com,FR,referral,2025-03-08,False
CUST00003,Chloe,Petit,chloe.petit3@example.com,BE,referral,2024-01-28,True
CUST00004,Rania,Durand,rania.durand4@example.com,BE,social,2024-10-11,True
CUST00005,Alice,Dubois,alice.dubois5@example.com,DE,email,2024-10-11,True
CUST00006,Karim,Bernard,karim.bernard6@example.com,FR,social,2024-04-09,True
CUST00007,Léa,Laurent,léa.laurent7@example.com,ES,organic,2025-04-15,True
CUST00008,Marco,Bernard,marco.bernard8@example.com,IT,email,2025-01-05,True
CUST00009,Chloe,Martin,chloe.martin9@example.com,BE,email,2024-03-22,True
CUST00010,David,Durand,david.durand10@example.com,ES,social,2025-01-08,True
CUST00011,Léa,Petit,léa.petit11@example.com,ES,organic,2024-06-24,True
CUST00012,Hugo,Dubois,hugo.dubois12@example.com,DE,social,2024-10-03,True
CUST00013,Rania,Petit,rania.petit13@example.com,ES,organic,2024-08-22,True
CUST00014,Karim,Durand,karim.durand14@example.com,ES,organic,2024-08-04,True
CUST00015,Sami,Richard,sami.richard15@example.com,BE,social,2025-02-09,True
CUST00016,Omar,Dubois,omar.dubois16@example.com,ES,paid_search,2024-09-09,True
CUST00017,Rania,Robert,rania.robert17@example.com,IT,social,2025-02-12,True
CUST00018,Emma,Simon,emma.simon18@example.com,DE,organic,2024-02-18,True
CUST00019,Emma,Dubois,emma.dubois19@example.com,DE,referral,2024-03-06,True
CUST00020,Tania,Moreau,tania.moreau20@example.com,IT,email,2024-01-12,True
CUST00021,David,Simon,david.simon21@example.com,ES,email,2024-04-24,True
CUST00022,Farid,Moreau,farid.moreau22@example.com,FR,email,2025-05-27,True
CUST00023,Quentin,Bernard,quentin.bernard23@example.com,ES,referral,2024-07-22,True
CUST00024,Farid,Simon,farid.simon24@example.com,IT,organic,2024-11-27,True
CUST00025,David,Richard,david.richard25@example.com,ES,paid_search,2024-02-29,True
CUST00026,Sami,Bernard,sami.bernard26@example.com,FR,social,2024-03-11,True
CUST00027,Rania,Dubois,rania.dubois27@example.com,BE,social,2024-06-18,True
CUST00028,Tania,Durand,tania.durand28@example.com,BE,referral,2024-07-24,True
CUST00029,Marco,Richard,marco.richard29@example.com,DE,referral,2025-04-07,False
CUST00030,Hugo,Bernard,hugo.bernard30@example.com,ES,organic,2024-08-23,True
CUST00031,Alice,Bernard,alice.bernard31@example.com,FR,paid_search,2024-03-10,True
CUST00032,Karim,Bernard,karim.bernard32@example.com,IT,paid_search,2024-10-12,True
CUST00033,Giulia,Simon,giulia.simon33@example.com,BE,referral,2025-04-29,True
CUST00034,Paul,Durand,paul.durand34@example.com,BE,organic,2024-04-09,True
